deviceId,high_6,low_6,high_7,low_7,high_8,low_8,high_9,low_9,high_10,low_10,DOLower3,DOLower1,class
13485004574,7.6575,4.0329,5.1978,3.843,3.9072,3.1197,6.8086,2.6463,7.1129,2.3439,0.166466,0.007049,0
2014051669,7.2044,3.9802,10.2399,4.0285,10.6617,3.6018,5.7526,2.5905,5.2644,2.8724,0.083364,0,0
14761520257,7.2044,3.9802,9.6279,5.6136,6.1033,3.3551,5.7526,2.5905,2.9734,2.1097,0.027007,0.003178,0
13485004974,2.5929,2.7948,5.8389,2.6067,7.8205,3.1702,6.3704,2.9848,7.3731,3.645,0.262814,0.08565,0
2015056104,1.3792,0.6168,6.4423,3.9617,7.9383,3.7112,5.9543,3.3778,4.8728,3.7745,0.54884,0.373121,0
14761520217,7.8001,7.4775,7.0067,4.2726,8.9885,1.0899,5.4132,1.4424,1.4398,0.7814,0.563165,0.16613,0
13485000445,9.9078,4.3663,10.7297,4.2649,8.6256,2.2342,7.517,2.0645,6.1192,2.2564,0.194462,0.02973,0
2015056099,7.2044,3.9802,6.5961,4.9054,1.0862,1.5433,0.566,5.2708,5.0248,4.8937,0.494786,0.298995,0
13584244681,5.185,1.2263,10.1086,4.9075,9.7026,5.7217,8.421,4.4108,8.8871,5.0335,0.088369,0.035897,0
2014051715,7.2044,3.9802,5.0226,3.3333,5.2541,2.4292,4.1079,1.7668,5.2644,2.8724,0.218687,0.001952,0
14761520259,9.6399,4.3887,9.8146,2.8982,6.8889,2.6234,5.7526,2.5905,2.9734,2.1097,0.16079,0.02356,0
14761520964,8.8749,5.4698,7.9887,4.2234,6.2234,3.6429,3.0913,2.5384,4.5786,2.4446,0.1813,0.006913,1
2014051593,7.2044,3.9802,5.694,2.7273,6.0529,3.83,3.1936,1.3473,5.2644,2.8724,0.368284,0.08158,1
14761520204,5.869,3.7407,5.0946,2.5945,5.2899,1.8489,4.9418,2.4203,5.2373,3.2834,0.225313,0.022252,0
14761520250,9.2755,5.6219,10.3603,6.1707,10.5511,3.1682,9.7113,4.0396,2.2433,1.9292,0.340774,0.028502,0
2014051695,7.7604,5.1478,7.5061,4.5524,9.32,2.6234,5.7526,2.5905,5.2644,2.8724,0.058184,0.000924,0
14761520197,9.2108,4.0774,7.5824,3.7218,6.8889,2.6234,5.7526,2.5905,2.9734,2.1097,0.058184,0.000924,0
13584242819,10.4467,4.0887,7.4163,2.4807,8.3081,2.0546,7.6999,2.3141,7.3731,3.645,0.179036,0.03279,0
2014051742,4.0586,2.957,4.8367,1.4732,4.5243,0.8132,7.5228,0.9329,6.0337,1.7484,0.194786,0.298995,1
18352484324,8.4084,3.6965,8.5443,1.8562,3.6431,1.2632,4.9693,1.3008,9.0144,3.85,0.3716,0.077144,0
